ID,Grading,Grading Eval Method,Grading Result Trend,Feedback,Feedback Eval Method,Feedback Result Trend,To discuss
354359270,Y,Comparision of Time,Positive,,,,Y
354359272,Y,Grading Correlation,Positive,,,,Y
354359274,Y,Tool Accuracy,Negative,,,,
354359278,Y,Tool Accuracy,Positive,,,,Y
354359279,Y,Tool Accuracy,Positive,,,,Y
354359294,Y,Grading Correlation,Positive,,,,
354359297,Y,Human Grading Accuracy,Negative,,,,Y
354359300,Y,Grading Correlation,Mixed,,,,Y
354359302,Y,Tool Accuracy,Positive,,,,
354359310,Y,Comparision of Time,Positive,,,,Y
354359321,Y,Tool Accuracy,Negative,,,,
354359323,Y,Tool Accuracy,Positive,,,,Y?
354359326,Y,Grading Correlation,Mixed,,,,
354359332,Y,Tool Accuracy,Positive,,,,
354359334,Y,Grading Correlation,Positive,,,,
354359341,Y,Tool Accuracy,Positive,,,,
354359345,,,,Y,Grading Correlation,Mixed,Y
354359367,,,,Y,Time to bug fix,Positive,Y
354359383,,,,Y,Expert Agreement,Positive,Y
354359405,,,,Y,Error Detection,Positive,Y
354359407,,,,Y,Accuracy of Categorisation,Positive,Y
354359397,,,,Y,Expert Agreement,Mixed,Y